日付,カテゴリ,金額,メモ
2025-09-19,自己投資,2770.0,Udemy オンライン講座
2025-09-20,保険料,3500.0,アフラック 医療保険
2025-09-21,食費,420.0,セブンイレブン
2025-09-22,保険料,3500.0,アフラック 医療保険
2025-09-22,AI,3000.0,Claude Pro
2025-09-26,食費,2390.0,スシロー
2025-09-26,交通費,500.0,駐車場代
2025-09-28,食費,810.0,セブンイレブン
2025-09-28,衣服,2560.0,ユニクロ
2025-09-29,教育費,6000.0,進研ゼミ
2025-09-30,食費,2680.0,Uber Eats
2025-09-30,光熱費,5340.0,東京ガス ガス代
2025-09-30,その他,11690.0,ご祝儀・お香典
